Datetime,Platform,Model,Target,Data,Mode,Pretrained Model,Embedding Dimension,Word Dimension,BoW Classifier,CNN Output Channels,LSTM Layers,LSTM Hidden Dimension,LSTM Bidirectional,CUDA Blocking,Epochs,Learning Rate,Patience,Class Imbalance Fix,Accuracy,Balanced Accuracy
20211004-1934,SCAR_NLP,CNN,emots,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,,,,0,1,0.0001,5,loss_weight,0.637609526,0.609284579
20211004-2110,SCAR_NLP,CNN,emots,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,,,,FALSE,100,1e-05,5,loss_weight,0.65153898,0.648776729
20211006-1112,SCAR_NLP,LSTM,emots,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,-,1.0,12.0,,FALSE,1,0.0001,5,loss_weight,0.573354302,0.573400546
20211006-1156,SCAR_NLP,LSTM,emots,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,1.0,12.0,,FALSE,1,0.0001,5,loss_weight,0.597843181,0.572834492
20211006-1352,SCAR_NLP,LSTM,emots,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,1.0,12.0,,FALSE,1,0.0001,5,loss_weight,0.597618513,0.587289956
20211006-1431,SCAR_NLP,LSTM,emots,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,1.0,12.0,0,FALSE,1,0.0001,5,loss_weight,0.557178162,0.56555416
20211006-1508,SCAR_NLP,LSTM,emots,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,1.0,128.0,FALSE,FALSE,1,0.0001,5,loss_weight,0.579645024,0.582601718
20211006-1700,SCAR_NLP,LSTM,emots,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,2.0,128.0,FALSE,FALSE,1,0.0001,5,loss_weight,0.575151651,0.569952642
20211006-1848,SCAR_NLP,LSTM,emots,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,2.0,128.0,FALSE,FALSE,1,0.0001,5,loss_weight,0.550303849,0.565792704
20211006-1929,SCAR_NLP,LSTM,emots,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,2.0,128.0,FALSE,FALSE,1,0.0001,5,loss_weight,0.583690987,0.556684728
20211006-2140,SCAR_NLP,LSTM,emots,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,2.0,128.0,FALSE,FALSE,100,0.0001,5,loss_weight,0.612969283,0.611678559
20211007-1239,SCAR_NLP,LSTM,emots,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,2.0,128.0,TRUE,FALSE,1,0.0001,5,loss_weight,0.562907945,0.573173445
20211008-1720,SCAR_NLP,LSTM,emots,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,2.0,128.0,TRUE,FALSE,10,0.0001,5,loss_weight,0.62379349,0.620585512
20211009-1304,SCAR_NLP,LSTM,emots,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,2.0,128.0,TRUE,FALSE,10,1e-05,5,loss_weight,0.584325174,0.597239192
20211012-1013,SCAR_NLP,LSTM,emots,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,2.0,128.0,TRUE,FALSE,100,1e-05,5,loss_weight,0.617561195,0.616705744
20211013-0024,SCAR_NLP,LSTM,emots,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,2.0,128.0,FALSE,FALSE,100,0.0001,5,loss_weight,0.628868308,0.613575276
20211013-1644,SCAR_NLP,BoW,emots,ppv3,,,,,rf,,,,,FALSE,10,,5,none,0.627943485,0.60274212
20211013-1645,SCAR_NLP,BoW,emots,ppv3,,,,,elnet,,,,,FALSE,10,,5,none,0.569185916,0.5
20211013-1801,SCAR_NLP,BoW,emots,ppv3,,,,,rf,,,,,FALSE,10,,5,loss_weight,0.635792779,0.606726636
20211013-1803,SCAR_NLP,BoW,emots,ppv3,,,,,elnet,,,,,FALSE,10,,5,loss_weight,0.569185916,0.5
20211015-2307,SCAR_NLP,BoW,emots,ppv3,,,,,gbdt,,,,,FALSE,10,,5,none,0.643642072,0.612229766
20211016-0020,SCAR_NLP,BoW,emots,ppv3,,,,,gbdt,,,,,FALSE,10,,5,none,0.643642072,0.612229766
20211016-0021,SCAR_NLP,BoW,emots,ppv3,,,,,l2logreg,,,,,FALSE,10,,5,none,0.62771922,0.589826721
20211016-0023,SCAR_NLP,BoW,emots,ppv3,,,,,l2logreg,,,,,FALSE,10,,5,loss_weight,0.621888316,0.617860986
20211017-0316,SCAR_NLP,LSTM,emots,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,1.0,256.0,FALSE,FALSE,100,0.0001,5,loss_weight,0.645580978,0.643138667
20211018-0141,SCAR_NLP,LSTM,emots,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,1.0,256.0,FALSE,FALSE,100,1e-05,5,loss_weight,0.636608345,0.639330619
20211022-0104,SCAR_NLP,LSTM,emots,PPv3,rand,GoogleNews-vectors-negative300.txt,300.0,300.0,,,2.0,256.0,FALSE,FALSE,100,0.0001,5,loss_weight,0.620284617,0.610755871
20211122-1522,SCAR_NLP,BERT_debug,emots,ppv3,,bert-base-uncased,,,,,,,,FALSE,2,1e-05,5,loss_weight,0.653465331,0.5
20211122-1527,SCAR_NLP,BERT_debug,emots,ppv3,,bert-base-uncased,,,,,,,,FALSE,2,1e-05,5,loss_weight,0.34653464,0.5
20211125-1744,SCAR_NLP,BERT,emots,ppv3,,bert-base-uncased,,,,,,,,False,50,0.0001,5,loss_weight,0.6120206117630005,0.6179248094558716
20211127-1933,SCAR_NLP,BERT,emots,ppv3,,bert_pretrain_output_all_notes_150000,,,,,,,,False,50,0.0001,5,loss_weight,0.6165059208869934,0.6072481870651245
20211128-0309,SCAR_NLP,BERT,emots,ppv3,,bert_pretrain_output_disch_100000,,,,,,,,False,50,0.0001,5,loss_weight,0.6156088709831238,0.6070929765701294
20211128-1017,SCAR_NLP,BERT,emots,ppv3,,biobert_pretrain_output_all_notes_150000,,,,,,,,False,50,0.0001,5,loss_weight,0.5931823253631592,0.6039073467254639
20211128-1840,SCAR_NLP,BERT,emots,ppv3,,biobert_pretrain_output_disch_100000,,,,,,,,False,50,0.0001,5,loss_weight,0.5931823253631592,0.6074507236480713
20211130-0044,SCAR_NLP,BERT,emots,ppv3,,bert-base-uncased,,,,,,,,False,50,1e-05,5,loss_weight,0.6124691367149353,0.6070557236671448
