epoch,acc,bal_acc,auc,prec,rec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.46064141392707825,0.6037500500679016,0.6849330067634583,0.027346938848495483,0.7528089880943298,0.05277668684720993,1.286624789237976,0.027346938775510202,0.9890492782478845,67.0,2383.0,1987.0,22.0
1,0.7470284700393677,0.6618028879165649,0.7229012846946716,0.044697634875774384,0.5730336904525757,0.08292683213949203,1.2263933420181274,0.044697633654688866,0.9885473176612417,51.0,1090.0,3280.0,38.0
2,0.8010764718055725,0.6838736534118652,0.7542873620986938,0.055679287761449814,0.5617977380752563,0.10131713002920151,1.1697877645492554,0.0556792873051225,0.9890480202190396,50.0,848.0,3522.0,39.0
3,0.8450325131416321,0.7118028998374939,0.7795232534408569,0.07244317978620529,0.5730336904525757,0.12862546741962433,1.146654486656189,0.07244318181818182,0.9898801597869508,51.0,653.0,3717.0,38.0
4,0.8952680230140686,0.6879001259803772,0.7832797765731812,0.09090909361839294,0.47191011905670166,0.1524500846862793,1.2501543760299683,0.09090909090909091,0.9882411808856643,42.0,420.0,3950.0,47.0
5,0.9392240643501282,0.6497865915298462,0.7817035913467407,0.12704917788505554,0.3483146131038666,0.18618617951869965,1.5531532764434814,0.12704918032786885,0.9862396204033215,31.0,213.0,4157.0,58.0
6,0.9268894195556641,0.6545007824897766,0.7741135954856873,0.10891088843345642,0.37078651785850525,0.16836735606193542,1.6272674798965454,0.10891089108910891,0.9865255052935515,33.0,270.0,4100.0,56.0
7,0.9457277655601501,0.6200833320617676,0.7689584493637085,0.1231527104973793,0.2808988690376282,0.17123286426067352,2.0020618438720703,0.12315270935960591,0.9849624060150376,25.0,178.0,4192.0,64.0
8,0.9591836929321289,0.60493403673172,0.7642737627029419,0.15555556118488312,0.23595505952835083,0.1875000149011612,2.482269525527954,0.15555555555555556,0.9842738205365402,21.0,114.0,4256.0,68.0
9,0.9585108757019043,0.6045907735824585,0.7630730271339417,0.15217390656471252,0.23595505952835083,0.1850220263004303,2.6922125816345215,0.15217391304347827,0.984262902105994,21.0,117.0,4253.0,68.0
10,0.9585108757019043,0.6045907735824585,0.7557812333106995,0.15217390656471252,0.23595505952835083,0.1850220263004303,3.0965917110443115,0.15217391304347827,0.984262902105994,21.0,117.0,4253.0,68.0
11,0.9558196663856506,0.614224910736084,0.7519810795783997,0.14935064315795898,0.2584269642829895,0.18930040299892426,3.174265146255493,0.14935064935064934,0.9846689895470383,23.0,131.0,4239.0,66.0
12,0.9605292677879333,0.6111240983009338,0.7376776933670044,0.1679389327764511,0.24719101190567017,0.20000000298023224,3.619159460067749,0.16793893129770993,0.9845194085027726,22.0,109.0,4261.0,67.0
13,0.9751065373420715,0.574532687664032,0.7469955682754517,0.2800000011920929,0.15730337798595428,0.20143885910511017,4.737758636474609,0.28,0.9829893399863915,14.0,36.0,4334.0,75.0
14,0.976452112197876,0.5532049536705017,0.7468361854553223,0.2777777910232544,0.11235955357551575,0.1600000113248825,5.313546657562256,0.2777777777777778,0.9821388198055618,10.0,26.0,4344.0,79.0
15,0.9728638529777527,0.5788921117782593,0.7481603622436523,0.24193547666072845,0.16853933036327362,0.1986754834651947,4.907356262207031,0.24193548387096775,0.9831703434159654,15.0,47.0,4323.0,74.0
16,0.9780219793319702,0.5595093965530396,0.7459748983383179,0.35483869910240173,0.12359550595283508,0.18333333730697632,6.039697647094727,0.3548387096774194,0.9823848238482384,11.0,20.0,4350.0,78.0
17,0.9773491621017456,0.5481590628623962,0.7474558353424072,0.30000001192092896,0.10112359374761581,0.15126049518585205,5.771664142608643,0.3,0.9819372318807857,9.0,21.0,4349.0,80.0
18,0.9656873941421509,0.5972449779510498,0.7429306507110596,0.18627451360225677,0.21348313987255096,0.19895288348197937,4.828129291534424,0.18627450980392157,0.9839338994721138,19.0,83.0,4287.0,70.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 100
batch_size: 8
seed: 3435
patience: 5
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: dspln_PSYCHIATRY_0
dataset: SCAR
debug: False
mode: rand
output_channel: 500
words_dim: 300
embed_dim: 300
dropout: 0.5
lr: 0.0001
weight_decay: 0
pretrained_dir: C:\Users\jjnunez\PycharmProjects\hedwig-data\embeddings\word2vec
pretrained_file: GoogleNews-vectors-negative300.txt
device: cuda:0
